producto_db,nombre_producto,precio
Cargador Carga Rapida,"Adaptador|Cargador Pared SAMSUNG USB-C 25W Carga Rápida
4.9
(501)",94900
Cargador Carga Rapida,"Adaptador|Cargador Pared SAMSUNG USB-C 45W Carga Rápida + Cable 1.8 metros
5.0
(20)",241900
Cargador Carga Rapida,"Adaptador|Cargador Pared|BELKIN USB-C 68W Carga Rápida Blanco + Cable USBC 2 Metros Blanco
5.0
(2)",109900
Cargador Carga Rapida,"Adaptador|Cargador Pared MOPHIE USB-C 67W Carga Rápida Blanco + Cable 2 mts
5.0
(2)",149900
Cargador Carga Rapida,"Adaptador|Cargador Pared|BELKIN USB-C 25W Carga Rápida Blanco
5.0
(1)",79900
Cargador Carga Rapida,Adaptador|Cargador Pared|BELKIN USB-C 45W Carga Rápida Blanco,119900
Cargador Carga Rapida,Adaptador|Cargador Pared BELKIN USB-C 25W Carga Rápida Negro + Cable 1.0 metro|Bateria Recargable 5000 mAh,176900
Cargador Carga Rapida,"Adaptador|Cargador de Pared i2GO USB-C 20W Carga Rápida Blanco
5.0
(2)",55900
Cargador Carga Rapida,Adaptador|Cargador de Pared i2GO USB-C 20W Carga Rápida Negro,55900
Cargador Carga Rapida,"Adaptador|Cargador Pared BELKIN Dual USB-C 32W Carga Rápida (USB-C 20W|USB-A 12W)
4.3
(9)",59900
Cargador Carga Rapida,"Adaptador|Cargador de Carro i2GO USB-C 20W Carga Rápida Negro
5.0
(1)",50900
Cargador Carga Rapida,Adaptador|Cargador de Pared I2GO USB-C 33W Carga Rápida + Cable USB-C a USB-C 60W 1.5 Metros Negro,99900
Cargador Carga Rapida,"Adaptador|Cargador de Pared KALLEY Dual USB|USB-C 20W Carga Rápida K-CP Blanco
4.9
(125)",29900
Cargador Carga Rapida,"Adaptador|Cargador de Pared KALLEY Triple Puerto 65W (USB-C 25W|USB-C 25W |USB-A 15W) Carga Rápida K-C65 Negro
4.0
(1)",65900
Cargador Carga Rapida,"Adaptador|Cargador de Pared ADATA USB-C a USB (25W USB-C1 | 25W USB-C2 | 15W USB-A) 65W Carga Rápida + Cable USB-C a USB-C 2.0 metros Negro
5.0
(7)",99900
Cargador Carga Rapida,Adaptador|Cargador de Pared ADATA dual USB-C 35W Carga Rápida (USB-C 20W |USB-A 15W) + Cable USB-C a USB-C 2.0 metros Negro,49900
Cargador Carga Rapida,"Adaptador|Cargador de Pared ADATA dual (USB-C 20W |USB-A 15W) 35W Carga Rápida Blanco
5.0
(4)",39900
Cargador Carga Rapida,Cargador de Auto Dual i2GO 35W – USB-C + USB-A Carga Rápida,65900
Cargador Carga Rapida,"Adaptador|Cargador de Pared ADATA dual (USB-C 20W |USB-A 15W) 35W Carga Rápida Negro
4.9
(9)",39900
Cargador Carga Rapida,Cable 2 en 1 USB-C / USB-A a USB-C – Carga Rápida 3 m,45900
Cargador Carga Rapida,Adaptador|Cargador de Pared ESENSES Dual USB-C 65W Carga Rápida (USB-C 45W|USB-C 15W|USB-A 5W) + Cable USB-C a USB-C 60W de 1.5 Metro,99900
Cargador Carga Rapida,"Adaptador|Cargador de Pared i2GO USB-A 10.5W Carga Rápida Negro
5.0
(1)",33900
Teclado Mecanico RGB,Teclado PRIMUS Alámbrico Mecánico Gaming Ballista 61T Negro,199900
Teclado Mecanico RGB,Teclado HYPERX Alámbrico Mecánico Alloy Origins 60,469900
Teclado Mecanico RGB,"Teclado PRIMUS Alámbrico Mecánico Gaming Ballista Negro
5.0
(5)",259900
Teclado Mecanico RGB,"Teclado LOGITECH G Mecánico G413 SE Gaming
4.8
(4)",469900
Teclado Mecanico RGB,"Teclado LOGITECH Alámbrico Mecánico Gaming GPRO
5.0
(1)",649900
Teclado Mecanico RGB,"Teclado HYPERX Alámbrico Gaming Alloy Core RGB Negro
5.0
(10)",239900
Teclado Mecanico RGB,"Combo KLIP XTREME Teclado y Mouse inalámbrico RGB KBK-520 Gris|Negro
4.4
(7)",149900
Teclado Mecanico RGB,"Combo LENOVO Teclado y Mouse inalámbrico RGB 510 Negro
5.0
(6)",119900
Teclado Mecanico RGB,"Combo LENOVO Teclado y Mouse inalámbrico RGB 510 Blanco
4.0
(4)",119900
Teclado Mecanico RGB,Teclado HYPERX Alámbrico Mecánico Alloy Rise Negro,799900
Teclado Mecanico RGB,"Teclado KALLEY Alámbrico Gaming K-KGT Negro|Rojo
4.9
(71)",39900
Teclado Mecanico RGB,"Combo XTECH Alámbrico Teclado + Mouse XTK-540S Gaming Rosado
5.0
(5)",99900
Teclado Mecanico RGB,"Teclado LOGITECH G Alámbrico Gaming G213
4.6
(15)",289900
Teclado Mecanico RGB,"Teclado LOGITECH G G413 SE TKL Gaming
5.0
(1)",459900
Teclado Mecanico RGB,"Teclado TRUST Alámbrico Gaming GXT 836 Evocx Negro
5.0
(1)",139900
Teclado Mecanico RGB,"Mouse HYPERX Alámbrico Optico Pulsefire Core 6200DPI RGB Gaming
4.8
(13)",69900
Teclado Mecanico RGB,"Audífonos de Diadema LOGITECH G Inalámbricos Gaming Lila Lightspeed para juegos RGB G733 PC y Consola
5.0
(1)",384950
Teclado Mecanico RGB,Mouse HYPERX Alámbrico Optico Pulsefire Haste 2 3200DPI RGB Gaming,219900
Teclado Mecanico RGB,"Combo HP Inalámbrico Teclado+Mouse 330 Negro
4.9
(125)",92900
Teclado Mecanico RGB,"Combo KALLEY Inalámbrico Teclado + Mouse K-CIN Negro Mate
4.8
(24)",59900
Teclado Mecanico RGB,"Combo KALLEY Inalámbrico Teclado + Mouse K-CIM Morado Mate
5.0
(17)",69900
Teclado Mecanico RGB,"Combo HP Alámbrico Teclado + Mouse 150 Negro
4.7
(28)",79900
Teclado Mecanico RGB,"Combo LOGITECH Inalámbrico Teclado + Mouse MK295
4.8
(31)",119900
Teclado Mecanico RGB,"Combo HP Inalámbrico Teclado+Mouse 230 Blanco
4.9
(60)",129900
Teclado Mecanico RGB,"Combo HP Inalámbrico Teclado + Mouse 300
4.7
(73)",139900
Monitor 24 pulgadas FHD,"Monitor LG 24"" Pulgadas 24U411A FHD Plano Negro
4.7
(22)",439900
Monitor 24 pulgadas FHD,"Monitor SAMSUNG 24"" Pulgadas D300 FHD Plano Negro
4.9
(18)",429930
Monitor 24 pulgadas FHD,"Monitor ASUS 24"" Pulgadas VA249HG FHD Plano Negro
4.7
(16)",399000
Monitor 24 pulgadas FHD,"Monitor KALLEY 24"" Pulgadas M24FP3 FHD Plano Negro
4.9
(18)",429900
Monitor 24 pulgadas FHD,"Monitor LG Gamer 24"" Pulgadas 24GS65F FHD Plano Negro
4.8
(28)",669900
Monitor 24 pulgadas FHD,"Monitor HP OMEN Gamer 23.8"" Pulgadas FHD Plano Negro
4.9
(18)",639900
Disco Duro Externo 1TB,"Disco Estado Solido Externo ADATA SC750 1TB
5.0
(3)",839900
Disco Duro Externo 1TB,"Disco Estado Solido Externo ADATA SD620 1TB
5.0
(3)",829900
Disco Duro Externo 1TB,"Disco Estado Solido Externo ADATA SD810 1TB
5.0
(6)",869900
Disco Duro Externo 1TB,"Disco Estado Solido Externo SSD KINGSTON XS1000 1TB Negro
5.0
(5)",999900
Webcam HD 1080p,"Cámara de Seguridad Interior VTA+ Ovo 2 Domo 1080P HD con Rotación
4.7
(30)",139900
Webcam HD 1080p,"Cámara Web HP FHD 1080p 320 Negro
5.0
(12)",159900
Webcam HD 1080p,"Cámara Web LOGITECH HD Pro C920S
5.0
(16)",399900
